timestamp,rule.description,rule.level,data.srcip,data.srcport,full_log,GeoLocation.country_name,GeoLocation.city_name,GeoLocation.location
"Mar 13, 2025 @ 21:22:51.675","sshd: authentication failed.","5","64.227.78.79","59620","Mar 13 21:22:50 regvision-wordpress sshd[30113]: Failed password for mail from 64.227.78.79 port 59620 ssh2","United States","New York",{"lon":-74,"lat":40.7157}
"Mar 13, 2025 @ 21:22:49.660","PAM: User login failed.","5","64.227.78.79",,"Mar 13 21:22:48 regvision-wordpress sshd[30113]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=64.227.78.79  user=mail","United States","New York",{"lon":-74,"lat":40.7157}
"Mar 13, 2025 @ 21:22:47.658","sshd: authentication failed.","5","178.128.201.36","33194","Mar 13 21:22:46 regvision-wordpress sshd[30111]: Failed password for root from 178.128.201.36 port 33194 ssh2","Germany","Frankfurt am Main",{"lon":8.6843,"lat":50.1188}
"Mar 13, 2025 @ 21:22:45.656","PAM: User login failed.","5","178.128.201.36",,"Mar 13 21:22:45 regvision-wordpress sshd[30111]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=178.128.201.36  user=root","Germany","Frankfurt am Main",{"lon":8.6843,"lat":50.1188}
"Mar 13, 2025 @ 21:22:35.660","sshd: Attempt to login using a non-existent user","5","103.38.182.49","45416","Mar 13 21:22:35 regvision-wordpress sshd[30109]: Disconnected from invalid user teamspeak3 103.38.182.49 port 45416 [preauth]",,,
"Mar 13, 2025 @ 21:22:35.646","sshd: Attempt to login using a non-existent user","5","103.38.182.49",,"Mar 13 21:22:34 regvision-wordpress sshd[30109]: Failed password for invalid user teamspeak3 from 103.38.182.49 port 45416 ssh2",,,
"Mar 13, 2025 @ 21:22:33.656","PAM: User login failed.","5","103.38.182.49",,"Mar 13 21:22:32 regvision-wordpress sshd[30109]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=103.38.182.49",,,
"Mar 13, 2025 @ 21:22:33.655","sshd: Attempt to login using a non-existent user","5","103.38.182.49","45416","Mar 13 21:22:32 regvision-wordpress sshd[30109]: Invalid user teamspeak3 from 103.38.182.49 port 45416",,,
"Mar 13, 2025 @ 21:22:31.653","sshd: Attempt to login using a non-existent user","5","187.87.144.226",,"Mar 13 21:22:31 regvision-wordpress sshd[30106]: Failed password for invalid user monitor from 187.87.144.226 port 44164 ssh2","Brazil","São Paulo",{"lon":-46.6322,"lat":-23.63}
"Mar 13, 2025 @ 21:22:29.651","PAM: User login failed.","5","187.87.144.226",,"Mar 13 21:22:29 regvision-wordpress sshd[30106]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.87.144.226","Brazil","São Paulo",{"lon":-46.6322,"lat":-23.63}
"Mar 13, 2025 @ 21:22:29.651","sshd: Attempt to login using a non-existent user","5","187.87.144.226","44164","Mar 13 21:22:29 regvision-wordpress sshd[30106]: Invalid user monitor from 187.87.144.226 port 44164","Brazil","São Paulo",{"lon":-46.6322,"lat":-23.63}
"Mar 13, 2025 @ 21:22:17.639","sshd: Attempt to login using a non-existent user","5",,"32894","Mar 13 21:22:17 regvision-wordpress sshd[30104]: Invalid user  from 209.38.82.200 port 32894",,,
"Mar 13, 2025 @ 21:22:17.627","sshd: authentication failed.","5","87.120.165.133","42976","Mar 13 21:22:17 regvision-wordpress sshd[30102]: Failed password for root from 87.120.165.133 port 42976 ssh2","Bulgaria",,{"lon":23.3333,"lat":42.7}
"Mar 13, 2025 @ 21:22:15.625","PAM: User login failed.","5","87.120.165.133",,"Mar 13 21:22:15 regvision-wordpress sshd[30102]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=87.120.165.133  user=root","Bulgaria",,{"lon":23.3333,"lat":42.7}
"Mar 13, 2025 @ 21:22:11.632","sshd: authentication failed.","5","210.1.60.134","45492","Mar 13 21:22:11 regvision-wordpress sshd[30100]: Failed password for root from 210.1.60.134 port 45492 ssh2","Thailand","Nonthaburi",{"lon":100.4833,"lat":13.8}
"Mar 13, 2025 @ 21:22:09.617","PAM: User login failed.","5","210.1.60.134",,"Mar 13 21:22:09 regvision-wordpress sshd[30100]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=210.1.60.134  user=root","Thailand","Nonthaburi",{"lon":100.4833,"lat":13.8}
"Mar 13, 2025 @ 21:21:59.618","sshd: Attempt to login using a non-existent user","5","54.37.10.124","55510","Mar 13 21:21:58 regvision-wordpress sshd[30088]: Disconnected from invalid user magda 54.37.10.124 port 55510 [preauth]","France",,{"lon":2.3387,"lat":48.8582}
"Mar 13, 2025 @ 21:21:59.618","sshd: authentication failed.","5","157.66.218.174","45638","Mar 13 21:21:58 regvision-wordpress sshd[30086]: Failed password for root from 157.66.218.174 port 45638 ssh2",,,
"Mar 13, 2025 @ 21:21:59.618","sshd: Attempt to login using a non-existent user","5","54.37.10.124",,"Mar 13 21:21:58 regvision-wordpress sshd[30088]: Failed password for invalid user magda from 54.37.10.124 port 55510 ssh2","France",,{"lon":2.3387,"lat":48.8582}
"Mar 13, 2025 @ 21:21:57.615","sshd: Attempt to login using a non-existent user","5","54.37.10.124","55510","Mar 13 21:21:56 regvision-wordpress sshd[30088]: Invalid user magda from 54.37.10.124 port 55510","France",,{"lon":2.3387,"lat":48.8582}
"Mar 13, 2025 @ 21:21:57.615","PAM: User login failed.","5","54.37.10.124",,"Mar 13 21:21:56 regvision-wordpress sshd[30088]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=54.37.10.124","France",,{"lon":2.3387,"lat":48.8582}
"Mar 13, 2025 @ 21:21:57.603","PAM: User login failed.","5","157.66.218.174",,"Mar 13 21:21:56 regvision-wordpress sshd[30086]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=157.66.218.174  user=root",,,
"Mar 13, 2025 @ 21:21:51.610","sshd: authentication failed.","5","187.87.144.226","40144","Mar 13 21:21:49 regvision-wordpress sshd[30084]: Failed password for root from 187.87.144.226 port 40144 ssh2","Brazil","São Paulo",{"lon":-46.6322,"lat":-23.63}
"Mar 13, 2025 @ 21:21:47.593","PAM: User login failed.","5","187.87.144.226",,"Mar 13 21:21:47 regvision-wordpress sshd[30084]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.87.144.226  user=root","Brazil","São Paulo",{"lon":-46.6322,"lat":-23.63}
"Mar 13, 2025 @ 21:21:19.576","sshd: Attempt to login using a non-existent user","5","103.38.182.49","58458","Mar 13 21:21:18 regvision-wordpress sshd[30082]: Disconnected from invalid user max 103.38.182.49 port 58458 [preauth]",,,
"Mar 13, 2025 @ 21:21:19.564","sshd: Attempt to login using a non-existent user","5","103.38.182.49",,"Mar 13 21:21:18 regvision-wordpress sshd[30082]: Failed password for invalid user max from 103.38.182.49 port 58458 ssh2",,,
"Mar 13, 2025 @ 21:21:17.574","PAM: User login failed.","5","103.38.182.49",,"Mar 13 21:21:16 regvision-wordpress sshd[30082]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=103.38.182.49",,,
"Mar 13, 2025 @ 21:21:17.574","sshd: Attempt to login using a non-existent user","5","103.38.182.49","58458","Mar 13 21:21:16 regvision-wordpress sshd[30082]: Invalid user max from 103.38.182.49 port 58458",,,
"Mar 13, 2025 @ 21:21:17.562","sshd: authentication failed.","5","87.120.165.133","38222","Mar 13 21:21:15 regvision-wordpress sshd[30080]: Failed password for root from 87.120.165.133 port 38222 ssh2","Bulgaria",,{"lon":23.3333,"lat":42.7}
"Mar 13, 2025 @ 21:21:15.572","PAM: User login failed.","5","87.120.165.133",,"Mar 13 21:21:14 regvision-wordpress sshd[30080]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=87.120.165.133  user=root","Bulgaria",,{"lon":23.3333,"lat":42.7}
"Mar 13, 2025 @ 21:21:13.569","sshd: authentication failed.","5","178.128.201.36","57652","Mar 13 21:21:13 regvision-wordpress sshd[30078]: Failed password for root from 178.128.201.36 port 57652 ssh2","Germany","Frankfurt am Main",{"lon":8.6843,"lat":50.1188}
"Mar 13, 2025 @ 21:21:11.567","PAM: User login failed.","5","178.128.201.36",,"Mar 13 21:21:10 regvision-wordpress sshd[30078]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=178.128.201.36  user=root","Germany","Frankfurt am Main",{"lon":8.6843,"lat":50.1188}
"Mar 13, 2025 @ 21:21:05.549","sshd: authentication failed.","5","187.87.144.226","39746","Mar 13 21:21:04 regvision-wordpress sshd[30072]: Failed password for root from 187.87.144.226 port 39746 ssh2","Brazil","São Paulo",{"lon":-46.6322,"lat":-23.63}
"Mar 13, 2025 @ 21:21:03.547","PAM: User login failed.","5","187.87.144.226",,"Mar 13 21:21:01 regvision-wordpress sshd[30072]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.87.144.226  user=root","Brazil","São Paulo",{"lon":-46.6322,"lat":-23.63}
"Mar 13, 2025 @ 21:21:01.558","sshd: Attempt to login using a non-existent user","5","54.37.10.124",,"Mar 13 21:21:00 regvision-wordpress sshd[30076]: Failed password for invalid user lx from 54.37.10.124 port 33366 ssh2","France",,{"lon":2.3387,"lat":48.8582}
"Mar 13, 2025 @ 21:21:01.558","sshd: Attempt to login using a non-existent user","5","54.37.10.124","33366","Mar 13 21:21:00 regvision-wordpress sshd[30076]: Disconnected from invalid user lx 54.37.10.124 port 33366 [preauth]","France",,{"lon":2.3387,"lat":48.8582}
"Mar 13, 2025 @ 21:20:59.556","PAM: User login failed.","5","54.37.10.124",,"Mar 13 21:20:57 regvision-wordpress sshd[30076]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=54.37.10.124","France",,{"lon":2.3387,"lat":48.8582}
"Mar 13, 2025 @ 21:20:59.544","sshd: Attempt to login using a non-existent user","5","54.37.10.124","33366","Mar 13 21:20:57 regvision-wordpress sshd[30076]: Invalid user lx from 54.37.10.124 port 33366","France",,{"lon":2.3387,"lat":48.8582}
"Mar 13, 2025 @ 21:20:55.539","sshd: Attempt to login using a non-existent user","5","188.166.162.52",,"Mar 13 21:20:55 regvision-wordpress sshd[30073]: Failed password for invalid user solana from 188.166.162.52 port 58696 ssh2","Germany","Frankfurt am Main",{"lon":8.6843,"lat":50.1188}
"Mar 13, 2025 @ 21:20:53.591","PAM: User login failed.","5","188.166.162.52",,"Mar 13 21:20:53 regvision-wordpress sshd[30073]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=188.166.162.52","Germany","Frankfurt am Main",{"lon":8.6843,"lat":50.1188}
"Mar 13, 2025 @ 21:20:53.537","sshd: Attempt to login using a non-existent user","5","188.166.162.52","58696","Mar 13 21:20:53 regvision-wordpress sshd[30073]: Invalid user solana from 188.166.162.52 port 58696","Germany","Frankfurt am Main",{"lon":8.6843,"lat":50.1188}
"Mar 13, 2025 @ 21:20:49.533","sshd: authentication failed.","5","210.1.60.134","40726","Mar 13 21:20:48 regvision-wordpress sshd[30070]: Failed password for root from 210.1.60.134 port 40726 ssh2","Thailand","Nonthaburi",{"lon":100.4833,"lat":13.8}
"Mar 13, 2025 @ 21:20:47.543","PAM: User login failed.","5","210.1.60.134",,"Mar 13 21:20:46 regvision-wordpress sshd[30070]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=210.1.60.134  user=root","Thailand","Nonthaburi",{"lon":100.4833,"lat":13.8}
"Mar 13, 2025 @ 21:20:41.537","sshd: authentication failed.","5","218.92.0.226","59858","Mar 13 21:20:40 regvision-wordpress sshd[30066]: Failed password for root from 218.92.0.226 port 59858 ssh2","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 21:20:41.537","syslog: User missed the password more than one time","10","218.92.0.226",,"Mar 13 21:20:40 regvision-wordpress sshd[30066]: PAM 2 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=218.92.0.226  user=root","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 21:20:39.523","sshd: brute force trying to get access to the system. Authentication failed.","10","218.92.0.226","59858","Mar 13 21:20:38 regvision-wordpress sshd[30066]: Failed password for root from 218.92.0.226 port 59858 ssh2","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 21:20:37.534","sshd: Attempt to login using a non-existent user","5","157.66.218.174","41228","Mar 13 21:20:37 regvision-wordpress sshd[30068]: Disconnected from invalid user proxyuser 157.66.218.174 port 41228 [preauth]",,,
"Mar 13, 2025 @ 21:20:37.522","sshd: Attempt to login using a non-existent user","5","157.66.218.174",,"Mar 13 21:20:36 regvision-wordpress sshd[30068]: Failed password for invalid user proxyuser from 157.66.218.174 port 41228 ssh2",,,
"Mar 13, 2025 @ 21:20:35.532","PAM: User login failed.","5","157.66.218.174",,"Mar 13 21:20:34 regvision-wordpress sshd[30068]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=157.66.218.174",,,
"Mar 13, 2025 @ 21:20:35.532","sshd: authentication failed.","5","218.92.0.226","59858","Mar 13 21:20:35 regvision-wordpress sshd[30066]: Failed password for root from 218.92.0.226 port 59858 ssh2","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 21:20:35.520","sshd: Attempt to login using a non-existent user","5","157.66.218.174","41228","Mar 13 21:20:34 regvision-wordpress sshd[30068]: Invalid user proxyuser from 157.66.218.174 port 41228",,,
"Mar 13, 2025 @ 21:20:33.517","PAM: User login failed.","5","218.92.0.226",,"Mar 13 21:20:33 regvision-wordpress sshd[30066]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=218.92.0.226  user=root","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 21:20:31.527","sshd: authentication failed.","5","218.92.0.226","49526","Mar 13 21:20:31 regvision-wordpress sshd[30064]: Failed password for root from 218.92.0.226 port 49526 ssh2","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 21:20:31.527","syslog: User missed the password more than one time","10","218.92.0.226",,"Mar 13 21:20:31 regvision-wordpress sshd[30064]: PAM 2 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=218.92.0.226  user=root","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 21:20:29.514","sshd: authentication failed.","5","218.92.0.226","49526","Mar 13 21:20:28 regvision-wordpress sshd[30064]: Failed password for root from 218.92.0.226 port 49526 ssh2","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 21:20:27.524","sshd: authentication failed.","5","218.92.0.226","49526","Mar 13 21:20:25 regvision-wordpress sshd[30064]: Failed password for root from 218.92.0.226 port 49526 ssh2","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 21:20:27.512","sshd: Attempt to login using a non-existent user","5","187.87.144.226",,"Mar 13 21:20:25 regvision-wordpress sshd[30060]: Failed password for invalid user student from 187.87.144.226 port 60442 ssh2","Brazil","São Paulo",{"lon":-46.6322,"lat":-23.63}
"Mar 13, 2025 @ 21:20:25.522","PAM: User login failed.","5","218.92.0.226",,"Mar 13 21:20:24 regvision-wordpress sshd[30064]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=218.92.0.226  user=root","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 21:20:25.522","PAM: User login failed.","5","187.87.144.226",,"Mar 13 21:20:24 regvision-wordpress sshd[30060]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.87.144.226","Brazil","São Paulo",{"lon":-46.6322,"lat":-23.63}
"Mar 13, 2025 @ 21:20:25.510","sshd: Attempt to login using a non-existent user","5","187.87.144.226","60442","Mar 13 21:20:24 regvision-wordpress sshd[30060]: Invalid user student from 187.87.144.226 port 60442","Brazil","São Paulo",{"lon":-46.6322,"lat":-23.63}
"Mar 13, 2025 @ 21:20:23.520","syslog: User missed the password more than one time","10","218.92.0.226",,"Mar 13 21:20:22 regvision-wordpress sshd[30061]: PAM 2 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=218.92.0.226  user=root","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 21:20:23.507","sshd: authentication failed.","5","218.92.0.226","18990","Mar 13 21:20:22 regvision-wordpress sshd[30061]: Failed password for root from 218.92.0.226 port 18990 ssh2","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 21:20:21.518","sshd: authentication failed.","5","218.92.0.226","18990","Mar 13 21:20:20 regvision-wordpress sshd[30061]: Failed password for root from 218.92.0.226 port 18990 ssh2","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 21:20:19.504","sshd: authentication failed.","5","218.92.0.226","18990","Mar 13 21:20:18 regvision-wordpress sshd[30061]: Failed password for root from 218.92.0.226 port 18990 ssh2","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 21:20:17.502","PAM: User login failed.","5","218.92.0.226",,"Mar 13 21:20:16 regvision-wordpress sshd[30061]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=218.92.0.226  user=root","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 21:20:13.498","sshd: authentication failed.","5","87.120.165.133","47110","Mar 13 21:20:12 regvision-wordpress sshd[30057]: Failed password for root from 87.120.165.133 port 47110 ssh2","Bulgaria",,{"lon":23.3333,"lat":42.7}
"Mar 13, 2025 @ 21:20:11.508","PAM: User login failed.","5","87.120.165.133",,"Mar 13 21:20:10 regvision-wordpress sshd[30057]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=87.120.165.133  user=root","Bulgaria",,{"lon":23.3333,"lat":42.7}
"Mar 13, 2025 @ 21:19:59.496","sshd: Attempt to login using a non-existent user","5","103.38.182.49","55994","Mar 13 21:19:58 regvision-wordpress sshd[30055]: Disconnected from invalid user teamspeak 103.38.182.49 port 55994 [preauth]",,,
"Mar 13, 2025 @ 21:19:59.484","sshd: Attempt to login using a non-existent user","5","103.38.182.49",,"Mar 13 21:19:58 regvision-wordpress sshd[30055]: Failed password for invalid user teamspeak from 103.38.182.49 port 55994 ssh2",,,
"Mar 13, 2025 @ 21:19:57.495","PAM: User login failed.","5","103.38.182.49",,"Mar 13 21:19:56 regvision-wordpress sshd[30055]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=103.38.182.49",,,
"Mar 13, 2025 @ 21:19:57.495","sshd: authentication failed.","5","54.37.10.124","34932","Mar 13 21:19:56 regvision-wordpress sshd[30053]: Failed password for root from 54.37.10.124 port 34932 ssh2","France",,{"lon":2.3387,"lat":48.8582}
"Mar 13, 2025 @ 21:19:57.483","sshd: Attempt to login using a non-existent user","5","103.38.182.49","55994","Mar 13 21:19:55 regvision-wordpress sshd[30055]: Invalid user teamspeak from 103.38.182.49 port 55994",,,
"Mar 13, 2025 @ 21:19:55.480","PAM: User login failed.","5","54.37.10.124",,"Mar 13 21:19:54 regvision-wordpress sshd[30053]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=54.37.10.124  user=root","France",,{"lon":2.3387,"lat":48.8582}
"Mar 13, 2025 @ 21:19:51.487","sshd: Attempt to login using a non-existent user","5","187.87.144.226",,"Mar 13 21:19:50 regvision-wordpress sshd[30051]: Failed password for invalid user brilauer from 187.87.144.226 port 33988 ssh2","Brazil","São Paulo",{"lon":-46.6322,"lat":-23.63}
"Mar 13, 2025 @ 21:19:47.465","PAM: User login failed.","5","187.87.144.226",,"Mar 13 21:19:47 regvision-wordpress sshd[30051]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.87.144.226","Brazil","São Paulo",{"lon":-46.6322,"lat":-23.63}
"Mar 13, 2025 @ 21:19:47.465","sshd: Attempt to login using a non-existent user","5","187.87.144.226","33988","Mar 13 21:19:47 regvision-wordpress sshd[30051]: Invalid user brilauer from 187.87.144.226 port 33988","Brazil","São Paulo",{"lon":-46.6322,"lat":-23.63}
"Mar 13, 2025 @ 21:19:33.443","sshd: authentication failed.","5","178.128.201.36","49442","Mar 13 21:19:33 regvision-wordpress sshd[30049]: Failed password for root from 178.128.201.36 port 49442 ssh2","Germany","Frankfurt am Main",{"lon":8.6843,"lat":50.1188}
"Mar 13, 2025 @ 21:19:31.452","PAM: User login failed.","5","178.128.201.36",,"Mar 13 21:19:31 regvision-wordpress sshd[30049]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=178.128.201.36  user=root","Germany","Frankfurt am Main",{"lon":8.6843,"lat":50.1188}
"Mar 13, 2025 @ 21:19:25.436","sshd: authentication failed.","5","210.1.60.134","59170","Mar 13 21:19:23 regvision-wordpress sshd[30047]: Failed password for root from 210.1.60.134 port 59170 ssh2","Thailand","Nonthaburi",{"lon":100.4833,"lat":13.8}
"Mar 13, 2025 @ 21:19:23.435","PAM: User login failed.","5","210.1.60.134",,"Mar 13 21:19:21 regvision-wordpress sshd[30047]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=210.1.60.134  user=root","Thailand","Nonthaburi",{"lon":100.4833,"lat":13.8}
"Mar 13, 2025 @ 21:19:11.434","sshd: authentication failed.","5","87.120.165.133","35686","Mar 13 21:19:10 regvision-wordpress sshd[30045]: Failed password for root from 87.120.165.133 port 35686 ssh2","Bulgaria",,{"lon":23.3333,"lat":42.7}
"Mar 13, 2025 @ 21:19:11.434","sshd: Attempt to login using a non-existent user","5","157.66.218.174","40164","Mar 13 21:19:10 regvision-wordpress sshd[30043]: Disconnected from invalid user subzero 157.66.218.174 port 40164 [preauth]",,,
"Mar 13, 2025 @ 21:19:11.434","sshd: Attempt to login using a non-existent user","5","157.66.218.174",,"Mar 13 21:19:10 regvision-wordpress sshd[30043]: Failed password for invalid user subzero from 157.66.218.174 port 40164 ssh2",,,
"Mar 13, 2025 @ 21:19:11.434","sshd: authentication failed.","5","187.87.144.226","56446","Mar 13 21:19:11 regvision-wordpress sshd[30041]: Failed password for root from 187.87.144.226 port 56446 ssh2","Brazil","São Paulo",{"lon":-46.6322,"lat":-23.63}
"Mar 13, 2025 @ 21:19:09.432","PAM: User login failed.","5","157.66.218.174",,"Mar 13 21:19:08 regvision-wordpress sshd[30043]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=157.66.218.174",,,
"Mar 13, 2025 @ 21:19:09.431","PAM: User login failed.","5","187.87.144.226",,"Mar 13 21:19:09 regvision-wordpress sshd[30041]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.87.144.226  user=root","Brazil","São Paulo",{"lon":-46.6322,"lat":-23.63}
"Mar 13, 2025 @ 21:19:09.431","sshd: Attempt to login using a non-existent user","5","157.66.218.174","40164","Mar 13 21:19:08 regvision-wordpress sshd[30043]: Invalid user subzero from 157.66.218.174 port 40164",,,
"Mar 13, 2025 @ 21:19:09.419","PAM: User login failed.","5","87.120.165.133",,"Mar 13 21:19:08 regvision-wordpress sshd[30045]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=87.120.165.133  user=root","Bulgaria",,{"lon":23.3333,"lat":42.7}
"Mar 13, 2025 @ 21:18:51.415","sshd: Attempt to login using a non-existent user","5","142.93.157.230",,"Mar 13 21:18:49 regvision-wordpress sshd[30030]: Failed password for invalid user ubuntu from 142.93.157.230 port 45188 ssh2","Canada","Toronto",{"lon":-79.3623,"lat":43.6547}
"Mar 13, 2025 @ 21:18:51.415","sshd: Attempt to login using a non-existent user","5","54.37.10.124","50660","Mar 13 21:18:49 regvision-wordpress sshd[30032]: Disconnected from invalid user ts2 54.37.10.124 port 50660 [preauth]","France",,{"lon":2.3387,"lat":48.8582}
"Mar 13, 2025 @ 21:18:51.415","sshd: Attempt to login using a non-existent user","5","54.37.10.124",,"Mar 13 21:18:49 regvision-wordpress sshd[30032]: Failed password for invalid user ts2 from 54.37.10.124 port 50660 ssh2","France",,{"lon":2.3387,"lat":48.8582}
"Mar 13, 2025 @ 21:18:49.413","PAM: User login failed.","5","142.93.157.230",,"Mar 13 21:18:48 regvision-wordpress sshd[30030]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=142.93.157.230","Canada","Toronto",{"lon":-79.3623,"lat":43.6547}
"Mar 13, 2025 @ 21:18:49.413","PAM: User login failed.","5","54.37.10.124",,"Mar 13 21:18:48 regvision-wordpress sshd[30032]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=54.37.10.124","France",,{"lon":2.3387,"lat":48.8582}
"Mar 13, 2025 @ 21:18:49.413","sshd: Attempt to login using a non-existent user","5","54.37.10.124","50660","Mar 13 21:18:48 regvision-wordpress sshd[30032]: Invalid user ts2 from 54.37.10.124 port 50660","France",,{"lon":2.3387,"lat":48.8582}
"Mar 13, 2025 @ 21:18:49.400","sshd: Attempt to login using a non-existent user","5","142.93.157.230","45188","Mar 13 21:18:48 regvision-wordpress sshd[30030]: Invalid user ubuntu from 142.93.157.230 port 45188","Canada","Toronto",{"lon":-79.3623,"lat":43.6547}
"Mar 13, 2025 @ 21:18:33.384","sshd: Attempt to login using a non-existent user","5","187.87.144.226",,"Mar 13 21:18:31 regvision-wordpress sshd[30023]: Failed password for invalid user vyatta from 187.87.144.226 port 41538 ssh2","Brazil","São Paulo",{"lon":-46.6322,"lat":-23.63}
"Mar 13, 2025 @ 21:18:29.392","PAM: User login failed.","5","187.87.144.226",,"Mar 13 21:18:29 regvision-wordpress sshd[30023]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.87.144.226","Brazil","São Paulo",{"lon":-46.6322,"lat":-23.63}
"Mar 13, 2025 @ 21:18:29.392","syslog: User missed the password more than one time","10","218.92.0.216",,"Mar 13 21:18:28 regvision-wordpress sshd[30025]: PAM 2 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=218.92.0.216  user=root","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 21:18:29.392","sshd: Attempt to login using a non-existent user","5","187.87.144.226","41538","Mar 13 21:18:29 regvision-wordpress sshd[30023]: Invalid user vyatta from 187.87.144.226 port 41538","Brazil","São Paulo",{"lon":-46.6322,"lat":-23.63}
"Mar 13, 2025 @ 21:18:29.380","sshd: authentication failed.","5","218.92.0.216","23058","Mar 13 21:18:28 regvision-wordpress sshd[30025]: Failed password for root from 218.92.0.216 port 23058 ssh2","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 21:18:27.378","sshd: brute force trying to get access to the system. Authentication failed.","10","218.92.0.216","23058","Mar 13 21:18:26 regvision-wordpress sshd[30025]: Failed password for root from 218.92.0.216 port 23058 ssh2","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 21:18:25.376","sshd: authentication failed.","5","218.92.0.216","23058","Mar 13 21:18:24 regvision-wordpress sshd[30025]: Failed password for root from 218.92.0.216 port 23058 ssh2","China",,{"lon":118.7778,"lat":32.0617}
