timestamp,rule.description,rule.level,data.srcip,data.srcport,full_log,GeoLocation.country_name,GeoLocation.city_name,GeoLocation.location
"Mar 13, 2025 @ 22:00:47.919","PAM: User login failed.","5","178.128.201.36",,"Mar 13 22:00:47 regvision-wordpress sshd[31306]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=178.128.201.36","Germany","Frankfurt am Main",{"lon":8.6843,"lat":50.1188}
"Mar 13, 2025 @ 22:00:47.866","sshd: Attempt to login using a non-existent user","5","178.128.201.36","45580","Mar 13 22:00:47 regvision-wordpress sshd[31306]: Invalid user kafka from 178.128.201.36 port 45580","Germany","Frankfurt am Main",{"lon":8.6843,"lat":50.1188}
"Mar 13, 2025 @ 22:00:31.863","sshd: Attempt to login using a non-existent user","5","65.20.195.137",,"Mar 13 22:00:31 regvision-wordpress sshd[31304]: Failed password for invalid user debian from 65.20.195.137 port 50292 ssh2","United States",,{"lon":-97.822,"lat":37.751}
"Mar 13, 2025 @ 22:00:29.861","PAM: User login failed.","5","65.20.195.137",,"Mar 13 22:00:29 regvision-wordpress sshd[31304]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=65.20.195.137","United States",,{"lon":-97.822,"lat":37.751}
"Mar 13, 2025 @ 22:00:29.849","sshd: Attempt to login using a non-existent user","5","65.20.195.137","50292","Mar 13 22:00:29 regvision-wordpress sshd[31304]: Invalid user debian from 65.20.195.137 port 50292","United States",,{"lon":-97.822,"lat":37.751}
"Mar 13, 2025 @ 22:00:15.836","sshd: Attempt to login using a non-existent user","5","187.87.144.226",,"Mar 13 22:00:14 regvision-wordpress sshd[31300]: Failed password for invalid user uji from 187.87.144.226 port 56084 ssh2","Brazil","São Paulo",{"lon":-46.6322,"lat":-23.63}
"Mar 13, 2025 @ 22:00:13.887","sshd: Attempt to login using a non-existent user","5","187.87.144.226","56084","Mar 13 22:00:12 regvision-wordpress sshd[31300]: Invalid user uji from 187.87.144.226 port 56084","Brazil","São Paulo",{"lon":-46.6322,"lat":-23.63}
"Mar 13, 2025 @ 22:00:13.887","PAM: User login failed.","5","187.87.144.226",,"Mar 13 22:00:12 regvision-wordpress sshd[31300]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.87.144.226","Brazil","São Paulo",{"lon":-46.6322,"lat":-23.63}
"Mar 13, 2025 @ 22:00:13.887","sshd: Attempt to login using a non-existent user","5","157.66.218.174","59050","Mar 13 22:00:12 regvision-wordpress sshd[31302]: Disconnected from invalid user ts 157.66.218.174 port 59050 [preauth]",,,
"Mar 13, 2025 @ 22:00:13.834","sshd: Attempt to login using a non-existent user","5","157.66.218.174",,"Mar 13 22:00:12 regvision-wordpress sshd[31302]: Failed password for invalid user ts from 157.66.218.174 port 59050 ssh2",,,
"Mar 13, 2025 @ 22:00:09.843","PAM: User login failed.","5","157.66.218.174",,"Mar 13 22:00:09 regvision-wordpress sshd[31302]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=157.66.218.174",,,
"Mar 13, 2025 @ 22:00:09.831","sshd: Attempt to login using a non-existent user","5","157.66.218.174","59050","Mar 13 22:00:09 regvision-wordpress sshd[31302]: Invalid user ts from 157.66.218.174 port 59050",,,
"Mar 13, 2025 @ 21:59:51.824","sshd: authentication failed.","5","103.38.182.49","47404","Mar 13 21:59:50 regvision-wordpress sshd[31298]: Failed password for root from 103.38.182.49 port 47404 ssh2",,,
"Mar 13, 2025 @ 21:59:49.810","PAM: User login failed.","5","103.38.182.49",,"Mar 13 21:59:47 regvision-wordpress sshd[31298]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=103.38.182.49  user=root",,,
"Mar 13, 2025 @ 21:59:23.783","sshd: Attempt to login using a non-existent user","5","187.87.144.226",,"Mar 13 21:59:22 regvision-wordpress sshd[31286]: Failed password for invalid user dsadm from 187.87.144.226 port 58098 ssh2","Brazil","São Paulo",{"lon":-46.6322,"lat":-23.63}
"Mar 13, 2025 @ 21:59:21.794","sshd: Attempt to login using a non-existent user","5","187.87.144.226","58098","Mar 13 21:59:20 regvision-wordpress sshd[31286]: Invalid user dsadm from 187.87.144.226 port 58098","Brazil","São Paulo",{"lon":-46.6322,"lat":-23.63}
"Mar 13, 2025 @ 21:59:21.794","sshd: Attempt to login using a non-existent user","5","178.128.201.36",,"Mar 13 21:59:20 regvision-wordpress sshd[31289]: Failed password for invalid user david from 178.128.201.36 port 55362 ssh2","Germany","Frankfurt am Main",{"lon":8.6843,"lat":50.1188}
"Mar 13, 2025 @ 21:59:21.794","PAM: User login failed.","5","187.87.144.226",,"Mar 13 21:59:20 regvision-wordpress sshd[31286]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.87.144.226","Brazil","São Paulo",{"lon":-46.6322,"lat":-23.63}
"Mar 13, 2025 @ 21:59:19.832","PAM: User login failed.","5","178.128.201.36",,"Mar 13 21:59:18 regvision-wordpress sshd[31289]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=178.128.201.36","Germany","Frankfurt am Main",{"lon":8.6843,"lat":50.1188}
"Mar 13, 2025 @ 21:59:19.780","sshd: Attempt to login using a non-existent user","5","178.128.201.36","55362","Mar 13 21:59:18 regvision-wordpress sshd[31289]: Invalid user david from 178.128.201.36 port 55362","Germany","Frankfurt am Main",{"lon":8.6843,"lat":50.1188}
"Mar 13, 2025 @ 21:58:43.750","sshd: authentication failed.","5","157.66.218.174","45250","Mar 13 21:58:42 regvision-wordpress sshd[31282]: Failed password for root from 157.66.218.174 port 45250 ssh2",,,
"Mar 13, 2025 @ 21:58:41.760","PAM: User login failed.","5","157.66.218.174",,"Mar 13 21:58:40 regvision-wordpress sshd[31282]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=157.66.218.174  user=root",,,
"Mar 13, 2025 @ 21:58:29.737","sshd: authentication failed.","5","187.87.144.226","49886","Mar 13 21:58:28 regvision-wordpress sshd[31277]: Failed password for root from 187.87.144.226 port 49886 ssh2","Brazil","São Paulo",{"lon":-46.6322,"lat":-23.63}
"Mar 13, 2025 @ 21:58:27.735","PAM: User login failed.","5","187.87.144.226",,"Mar 13 21:58:26 regvision-wordpress sshd[31277]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.87.144.226  user=root","Brazil","São Paulo",{"lon":-46.6322,"lat":-23.63}
"Mar 13, 2025 @ 21:58:23.732","sshd: insecure connection attempt (scan).","6","2.57.122.192","43508","Mar 13 21:58:23 regvision-wordpress sshd[31281]: Did not receive identification string from 2.57.122.192 port 43508","Romania",,{"lon":25,"lat":46}
"Mar 13, 2025 @ 21:58:21.742","sshd: Attempt to login using a non-existent user","5","103.38.182.49",,"Mar 13 21:58:20 regvision-wordpress sshd[31279]: Failed password for invalid user cs2server from 103.38.182.49 port 35732 ssh2",,,
"Mar 13, 2025 @ 21:58:21.742","sshd: Attempt to login using a non-existent user","5","103.38.182.49","35732","Mar 13 21:58:20 regvision-wordpress sshd[31279]: Disconnected from invalid user cs2server 103.38.182.49 port 35732 [preauth]",,,
"Mar 13, 2025 @ 21:58:19.740","PAM: User login failed.","5","103.38.182.49",,"Mar 13 21:58:18 regvision-wordpress sshd[31279]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=103.38.182.49",,,
"Mar 13, 2025 @ 21:58:19.728","sshd: Attempt to login using a non-existent user","5","103.38.182.49","35732","Mar 13 21:58:18 regvision-wordpress sshd[31279]: Invalid user cs2server from 103.38.182.49 port 35732",,,
"Mar 13, 2025 @ 21:57:57.697","sshd: Attempt to login using a non-existent user","5","134.199.172.22",,"Mar 13 21:57:56 regvision-wordpress sshd[31265]: Failed password for invalid user pos from 134.199.172.22 port 39276 ssh2","Canada",,{"lon":-79.3716,"lat":43.6319}
"Mar 13, 2025 @ 21:57:55.707","PAM: User login failed.","5","134.199.172.22",,"Mar 13 21:57:53 regvision-wordpress sshd[31265]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=134.199.172.22","Canada",,{"lon":-79.3716,"lat":43.6319}
"Mar 13, 2025 @ 21:57:53.705","sshd: authentication failed.","5","178.128.201.36","52150","Mar 13 21:57:53 regvision-wordpress sshd[31263]: Failed password for root from 178.128.201.36 port 52150 ssh2","Germany","Frankfurt am Main",{"lon":8.6843,"lat":50.1188}
"Mar 13, 2025 @ 21:57:53.705","sshd: Attempt to login using a non-existent user","5","134.199.172.22","39276","Mar 13 21:57:53 regvision-wordpress sshd[31265]: Invalid user pos from 134.199.172.22 port 39276","Canada",,{"lon":-79.3716,"lat":43.6319}
"Mar 13, 2025 @ 21:57:53.693","PAM: User login failed.","5","178.128.201.36",,"Mar 13 21:57:51 regvision-wordpress sshd[31263]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=178.128.201.36  user=root","Germany","Frankfurt am Main",{"lon":8.6843,"lat":50.1188}
"Mar 13, 2025 @ 21:57:31.681","sshd: authentication failed.","5","187.87.144.226","52154","Mar 13 21:57:30 regvision-wordpress sshd[31258]: Failed password for root from 187.87.144.226 port 52154 ssh2","Brazil","São Paulo",{"lon":-46.6322,"lat":-23.63}
"Mar 13, 2025 @ 21:57:29.667","PAM: User login failed.","5","187.87.144.226",,"Mar 13 21:57:28 regvision-wordpress sshd[31258]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.87.144.226  user=root","Brazil","São Paulo",{"lon":-46.6322,"lat":-23.63}
"Mar 13, 2025 @ 21:57:11.663","sshd: authentication failed.","5","157.66.218.174","42918","Mar 13 21:57:09 regvision-wordpress sshd[31256]: Failed password for root from 157.66.218.174 port 42918 ssh2",,,
"Mar 13, 2025 @ 21:57:07.700","PAM: User login failed.","5","157.66.218.174",,"Mar 13 21:57:07 regvision-wordpress sshd[31256]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=157.66.218.174  user=root",,,
"Mar 13, 2025 @ 21:56:49.640","sshd: Attempt to login using a non-existent user","5","103.38.182.49","60286","Mar 13 21:56:48 regvision-wordpress sshd[31254]: Disconnected from invalid user sunny 103.38.182.49 port 60286 [preauth]",,,
"Mar 13, 2025 @ 21:56:49.628","sshd: Attempt to login using a non-existent user","5","103.38.182.49",,"Mar 13 21:56:47 regvision-wordpress sshd[31254]: Failed password for invalid user sunny from 103.38.182.49 port 60286 ssh2",,,
"Mar 13, 2025 @ 21:56:47.639","PAM: User login failed.","5","103.38.182.49",,"Mar 13 21:56:45 regvision-wordpress sshd[31254]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=103.38.182.49",,,
"Mar 13, 2025 @ 21:56:47.627","sshd: Attempt to login using a non-existent user","5","103.38.182.49","60286","Mar 13 21:56:45 regvision-wordpress sshd[31254]: Invalid user sunny from 103.38.182.49 port 60286",,,
"Mar 13, 2025 @ 21:56:39.620","sshd: Attempt to login using a non-existent user","5","187.87.144.226",,"Mar 13 21:56:38 regvision-wordpress sshd[31252]: Failed password for invalid user jeya from 187.87.144.226 port 35810 ssh2","Brazil","São Paulo",{"lon":-46.6322,"lat":-23.63}
"Mar 13, 2025 @ 21:56:37.671","PAM: User login failed.","5","187.87.144.226",,"Mar 13 21:56:36 regvision-wordpress sshd[31252]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.87.144.226","Brazil","São Paulo",{"lon":-46.6322,"lat":-23.63}
"Mar 13, 2025 @ 21:56:37.620","sshd: Attempt to login using a non-existent user","5","187.87.144.226","35810","Mar 13 21:56:36 regvision-wordpress sshd[31252]: Invalid user jeya from 187.87.144.226 port 35810","Brazil","São Paulo",{"lon":-46.6322,"lat":-23.63}
"Mar 13, 2025 @ 21:56:27.607","sshd: authentication failed.","5","178.128.201.36","36952","Mar 13 21:56:26 regvision-wordpress sshd[31250]: Failed password for root from 178.128.201.36 port 36952 ssh2","Germany","Frankfurt am Main",{"lon":8.6843,"lat":50.1188}
"Mar 13, 2025 @ 21:56:25.605","PAM: User login failed.","5","178.128.201.36",,"Mar 13 21:56:24 regvision-wordpress sshd[31250]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=178.128.201.36  user=root","Germany","Frankfurt am Main",{"lon":8.6843,"lat":50.1188}
"Mar 13, 2025 @ 21:55:51.614","sshd: authentication failed.","5","187.87.144.226","55148","Mar 13 21:55:49 regvision-wordpress sshd[31242]: Failed password for root from 187.87.144.226 port 55148 ssh2","Brazil","São Paulo",{"lon":-46.6322,"lat":-23.63}
"Mar 13, 2025 @ 21:55:49.584","sshd: authentication failed.","5","46.101.36.240","58282","Mar 13 21:55:48 regvision-wordpress sshd[31246]: Failed password for root from 46.101.36.240 port 58282 ssh2","United Kingdom","London",{"lon":-0.6658,"lat":51.5353}
"Mar 13, 2025 @ 21:55:47.594","PAM: User login failed.","5","46.101.36.240",,"Mar 13 21:55:46 regvision-wordpress sshd[31246]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=46.101.36.240  user=root","United Kingdom","London",{"lon":-0.6658,"lat":51.5353}
"Mar 13, 2025 @ 21:55:47.594","PAM: User login failed.","5","187.87.144.226",,"Mar 13 21:55:47 regvision-wordpress sshd[31242]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.87.144.226  user=root","Brazil","São Paulo",{"lon":-46.6322,"lat":-23.63}
"Mar 13, 2025 @ 21:55:43.590","sshd: Attempt to login using a non-existent user","5","157.66.218.174","35538","Mar 13 21:55:41 regvision-wordpress sshd[31243]: Disconnected from invalid user examen 157.66.218.174 port 35538 [preauth]",,,
"Mar 13, 2025 @ 21:55:41.587","sshd: Attempt to login using a non-existent user","5","157.66.218.174",,"Mar 13 21:55:41 regvision-wordpress sshd[31243]: Failed password for invalid user examen from 157.66.218.174 port 35538 ssh2",,,
"Mar 13, 2025 @ 21:55:39.626","PAM: User login failed.","5","157.66.218.174",,"Mar 13 21:55:38 regvision-wordpress sshd[31243]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=157.66.218.174",,,
